StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q5,1_Q9,2_Q9,3_Q9,4_Q9,5_Q9,6_Q9,7_Q9,8_Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_11_TEXT,Q19,Q20,Q21,Q22,Q23,Q24,Q26,IP_block,IP_country,choice1_salary1,choice1_salary2,choice1_race1,choice1_race2,choice1_party1,choice1_party2,choice1_personality1,choice1_personality2,choice1_attractive1,choice1_attractive2,choice1_education1,choice1_education2,choice1_interestpoli1,choice1_interestpoli2,choice1_religiosity1,choice1_religiosity2,choice2_salary1,choice2_salary2,choice2_race1,choice2_race2,choice2_party1,choice2_party2,choice2_personality1,choice2_personality2,choice2_attractive1,choice2_attractive2,choice2_education1,choice2_education2,choice2_interestpoli1,choice2_interestpoli2,choice2_religiosity1,choice2_religiosity2,choice3_salary1,choice3_salary2,choice3_race1,choice3_race2,choice3_party1,choice3_party2,choice3_personality1,choice3_personality2,choice3_attractive1,choice3_attractive2,choice3_education1,choice3_education2,choice3_interestpoli1,choice3_interestpoli2,choice3_religiosity1,choice3_religiosity2,choice4_salary1,choice4_salary2,choice4_race1,choice4_race2,choice4_party1,choice4_party2,choice4_personality1,choice4_personality2,choice4_attractive1,choice4_attractive2,choice4_education1,choice4_education2,choice4_interestpoli1,choice4_interestpoli2,choice4_religiosity1,choice4_religiosity2,choice5_salary1,choice5_salary2,choice5_race1,choice5_race2,choice5_party1,choice5_party2,choice5_personality1,choice5_personality2,choice5_attractive1,choice5_attractive2,choice5_education1,choice5_education2,choice5_interestpoli1,choice5_interestpoli2,choice5_religiosity1,choice5_religiosity2,choice6_salary1,choice6_salary2,choice6_race1,choice6_race2,choice6_party1,choice6_party2,choice6_personality1,choice6_personality2,choice6_attractive1,choice6_attractive2,choice6_education1,choice6_education2,choice6_interestpoli1,choice6_interestpoli2,choice6_religiosity1,choice6_religiosity2,choice7_salary1,choice7_salary2,choice7_race1,choice7_race2,choice7_party1,choice7_party2,choice7_personality1,choice7_personality2,choice7_attractive1,choice7_attractive2,choice7_education1,choice7_education2,choice7_interestpoli1,choice7_interestpoli2,choice7_religiosity1,choice7_religiosity2,choice8_salary1,choice8_salary2,choice8_race1,choice8_race2,choice8_party1,choice8_party2,choice8_personality1,choice8_personality2,choice8_attractive1,choice8_attractive2,choice8_education1,choice8_education2,choice8_interestpoli1,choice8_interestpoli2,choice8_religiosity1,choice8_religiosity2,Random_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"You are being invited to participate in a research study titled “Modern Mate Preferences.” This study is being conducted by Chano Arreguin-Abarca from Rice University. You were selected to participate in this study because you are a United States citizen. 
The purpose of this study is to see what attributes matter to people in a prospective long-term romantic partner. You will be shown hypothetical profiles of individuals and select among them. After you make these selections you will have to respond to some basic demographic questions. The total length of the survey should be no more than 5-10 minutes. 
You may not directly benefit from this research; however, we hope that your participation in the study may help us learn about what matters to people when making mate choices. 
We believe there are no known risks associated with this research study; however, as with any online related activity the risk of a breach of confidentiality is always possible. To the best of our ability your answers in this study will remain confidential. We will minimize any risks by not collecting any personally identifiable information, and storing all responses on the investigators secured computers. 
Your participation in this study is completely voluntary and you can withdraw at any time. You will be compensated according to the payment rate you have agreed to illustrated in MTurk recruitment process for this task.
If you have questions about this project or if you have a research-related problem, you may contact the researcher(s), Chano Arreguin-Abarca: ca34@rice.edu, John Alford: jra@rice.edu If you have questions pertaining to your rights as a research participant; or to report objections to this study, you should contact Rice University’s IRB Administrator. Email: irb@rice.edu or telephone: 713-348-3586. 
By continuing with the survey, you are indicating that you are at least 18 years old, have read and understood this consent form and agree to participate in this research study. Please print a copy of this page for your record. 
Do you agree to participate in this study?","For some reason we are still unable to verify your country location. We ask you to please assist us in getting this protocol correct. Please enter your MTurk worker ID below and contact the requester for this HIT to report the problem. 
Once you click next, you will be taken to the survey (and certifying that you are taking this survey from the U.S. and not using a VPS). We will manually check for those who reach this point and you will be contacted if this check identifies you as violating these requirements.",${e://Field/choice1_salary1} - Which of the two people above do you find MORE DESIRABLE as a long-term romantic partner?,${e://Field/choice2_salary1} - Which of the two people above do you find MORE DESIRABLE as a long-term romantic partner?,${e://Field/choice3_salary1} - Which of the two people above do you find MORE DESIRABLE as a long-term romantic partner?,${e://Field/choice4_salary1} - Which of the two people above do you find MORE DESIRABLE as a long-term romantic partner?,${e://Field/choice5_salary1} - Which of the two people above do you find MORE DESIRABLE as a long-term romantic partner?,${e://Field/choice6_salary1} - Which of the two people above do you find MORE DESIRABLE as a long-term romantic partner?,${e://Field/choice7_salary1} - Which of the two people above do you find MORE DESIRABLE as a long-term romantic partner?,${e://Field/choice8_salary1} - Which of the two people above do you find MORE DESIRABLE as a long-term romantic partner?,What is 5 + 4?,How interested would you say you are in politics?,Which of the following is not a common pet?,What is your gender?,What is your age?,What racial/ethnic identity do you associate with? (You may select more than one),What is your relationship status?,How religious are you?,What is your highest level of education? - Selected Choice,What is your highest level of education? - Other - Text,What is your yearly income?,How do you feel toward people who identify as Independents?,How do you feel toward people who identify as Democrats?,How do you feel toward people who identify as Republicans?,How do you identify politically?,What best describes you ideologically?,"What attributes matter to you about a prospective long-term romantic partner? Feel free to include attributes you saw here and/or add anything else. (280 character limit, i.e., same as a tweet).",IP_block,IP_country,choice1_salary1,choice1_salary2,choice1_race1,choice1_race2,choice1_party1,choice1_party2,choice1_personality1,choice1_personality2,choice1_attractive1,choice1_attractive2,choice1_education1,choice1_education2,choice1_interestpoli1,choice1_interestpoli2,choice1_religiosity1,choice1_religiosity2,choice2_salary1,choice2_salary2,choice2_race1,choice2_race2,choice2_party1,choice2_party2,choice2_personality1,choice2_personality2,choice2_attractive1,choice2_attractive2,choice2_education1,choice2_education2,choice2_interestpoli1,choice2_interestpoli2,choice2_religiosity1,choice2_religiosity2,choice3_salary1,choice3_salary2,choice3_race1,choice3_race2,choice3_party1,choice3_party2,choice3_personality1,choice3_personality2,choice3_attractive1,choice3_attractive2,choice3_education1,choice3_education2,choice3_interestpoli1,choice3_interestpoli2,choice3_religiosity1,choice3_religiosity2,choice4_salary1,choice4_salary2,choice4_race1,choice4_race2,choice4_party1,choice4_party2,choice4_personality1,choice4_personality2,choice4_attractive1,choice4_attractive2,choice4_education1,choice4_education2,choice4_interestpoli1,choice4_interestpoli2,choice4_religiosity1,choice4_religiosity2,choice5_salary1,choice5_salary2,choice5_race1,choice5_race2,choice5_party1,choice5_party2,choice5_personality1,choice5_personality2,choice5_attractive1,choice5_attractive2,choice5_education1,choice5_education2,choice5_interestpoli1,choice5_interestpoli2,choice5_religiosity1,choice5_religiosity2,choice6_salary1,choice6_salary2,choice6_race1,choice6_race2,choice6_party1,choice6_party2,choice6_personality1,choice6_personality2,choice6_attractive1,choice6_attractive2,choice6_education1,choice6_education2,choice6_interestpoli1,choice6_interestpoli2,choice6_religiosity1,choice6_religiosity2,choice7_salary1,choice7_salary2,choice7_race1,choice7_race2,choice7_party1,choice7_party2,choice7_personality1,choice7_personality2,choice7_attractive1,choice7_attractive2,choice7_education1,choice7_education2,choice7_interestpoli1,choice7_interestpoli2,choice7_religiosity1,choice7_religiosity2,choice8_salary1,choice8_salary2,choice8_race1,choice8_race2,choice8_party1,choice8_party2,choice8_personality1,choice8_personality2,choice8_attractive1,choice8_attractive2,choice8_education1,choice8_education2,choice8_interestpoli1,choice8_interestpoli2,choice8_religiosity1,choice8_religiosity2,Random_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""1_QID6""}","{""ImportId"":""2_QID6""}","{""ImportId"":""3_QID6""}","{""ImportId"":""4_QID6""}","{""ImportId"":""5_QID6""}","{""ImportId"":""6_QID6""}","{""ImportId"":""7_QID6""}","{""ImportId"":""8_QID6""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_11_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID12""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""IP_block""}","{""ImportId"":""IP_country""}","{""ImportId"":""choice1_salary1""}","{""ImportId"":""choice1_salary2""}","{""ImportId"":""choice1_race1""}","{""ImportId"":""choice1_race2""}","{""ImportId"":""choice1_party1""}","{""ImportId"":""choice1_party2""}","{""ImportId"":""choice1_personality1""}","{""ImportId"":""choice1_personality2""}","{""ImportId"":""choice1_attractive1""}","{""ImportId"":""choice1_attractive2""}","{""ImportId"":""choice1_education1""}","{""ImportId"":""choice1_education2""}","{""ImportId"":""choice1_interestpoli1""}","{""ImportId"":""choice1_interestpoli2""}","{""ImportId"":""choice1_religiosity1""}","{""ImportId"":""choice1_religiosity2""}","{""ImportId"":""choice2_salary1""}","{""ImportId"":""choice2_salary2""}","{""ImportId"":""choice2_race1""}","{""ImportId"":""choice2_race2""}","{""ImportId"":""choice2_party1""}","{""ImportId"":""choice2_party2""}","{""ImportId"":""choice2_personality1""}","{""ImportId"":""choice2_personality2""}","{""ImportId"":""choice2_attractive1""}","{""ImportId"":""choice2_attractive2""}","{""ImportId"":""choice2_education1""}","{""ImportId"":""choice2_education2""}","{""ImportId"":""choice2_interestpoli1""}","{""ImportId"":""choice2_interestpoli2""}","{""ImportId"":""choice2_religiosity1""}","{""ImportId"":""choice2_religiosity2""}","{""ImportId"":""choice3_salary1""}","{""ImportId"":""choice3_salary2""}","{""ImportId"":""choice3_race1""}","{""ImportId"":""choice3_race2""}","{""ImportId"":""choice3_party1""}","{""ImportId"":""choice3_party2""}","{""ImportId"":""choice3_personality1""}","{""ImportId"":""choice3_personality2""}","{""ImportId"":""choice3_attractive1""}","{""ImportId"":""choice3_attractive2""}","{""ImportId"":""choice3_education1""}","{""ImportId"":""choice3_education2""}","{""ImportId"":""choice3_interestpoli1""}","{""ImportId"":""choice3_interestpoli2""}","{""ImportId"":""choice3_religiosity1""}","{""ImportId"":""choice3_religiosity2""}","{""ImportId"":""choice4_salary1""}","{""ImportId"":""choice4_salary2""}","{""ImportId"":""choice4_race1""}","{""ImportId"":""choice4_race2""}","{""ImportId"":""choice4_party1""}","{""ImportId"":""choice4_party2""}","{""ImportId"":""choice4_personality1""}","{""ImportId"":""choice4_personality2""}","{""ImportId"":""choice4_attractive1""}","{""ImportId"":""choice4_attractive2""}","{""ImportId"":""choice4_education1""}","{""ImportId"":""choice4_education2""}","{""ImportId"":""choice4_interestpoli1""}","{""ImportId"":""choice4_interestpoli2""}","{""ImportId"":""choice4_religiosity1""}","{""ImportId"":""choice4_religiosity2""}","{""ImportId"":""choice5_salary1""}","{""ImportId"":""choice5_salary2""}","{""ImportId"":""choice5_race1""}","{""ImportId"":""choice5_race2""}","{""ImportId"":""choice5_party1""}","{""ImportId"":""choice5_party2""}","{""ImportId"":""choice5_personality1""}","{""ImportId"":""choice5_personality2""}","{""ImportId"":""choice5_attractive1""}","{""ImportId"":""choice5_attractive2""}","{""ImportId"":""choice5_education1""}","{""ImportId"":""choice5_education2""}","{""ImportId"":""choice5_interestpoli1""}","{""ImportId"":""choice5_interestpoli2""}","{""ImportId"":""choice5_religiosity1""}","{""ImportId"":""choice5_religiosity2""}","{""ImportId"":""choice6_salary1""}","{""ImportId"":""choice6_salary2""}","{""ImportId"":""choice6_race1""}","{""ImportId"":""choice6_race2""}","{""ImportId"":""choice6_party1""}","{""ImportId"":""choice6_party2""}","{""ImportId"":""choice6_personality1""}","{""ImportId"":""choice6_personality2""}","{""ImportId"":""choice6_attractive1""}","{""ImportId"":""choice6_attractive2""}","{""ImportId"":""choice6_education1""}","{""ImportId"":""choice6_education2""}","{""ImportId"":""choice6_interestpoli1""}","{""ImportId"":""choice6_interestpoli2""}","{""ImportId"":""choice6_religiosity1""}","{""ImportId"":""choice6_religiosity2""}","{""ImportId"":""choice7_salary1""}","{""ImportId"":""choice7_salary2""}","{""ImportId"":""choice7_race1""}","{""ImportId"":""choice7_race2""}","{""ImportId"":""choice7_party1""}","{""ImportId"":""choice7_party2""}","{""ImportId"":""choice7_personality1""}","{""ImportId"":""choice7_personality2""}","{""ImportId"":""choice7_attractive1""}","{""ImportId"":""choice7_attractive2""}","{""ImportId"":""choice7_education1""}","{""ImportId"":""choice7_education2""}","{""ImportId"":""choice7_interestpoli1""}","{""ImportId"":""choice7_interestpoli2""}","{""ImportId"":""choice7_religiosity1""}","{""ImportId"":""choice7_religiosity2""}","{""ImportId"":""choice8_salary1""}","{""ImportId"":""choice8_salary2""}","{""ImportId"":""choice8_race1""}","{""ImportId"":""choice8_race2""}","{""ImportId"":""choice8_party1""}","{""ImportId"":""choice8_party2""}","{""ImportId"":""choice8_personality1""}","{""ImportId"":""choice8_personality2""}","{""ImportId"":""choice8_attractive1""}","{""ImportId"":""choice8_attractive2""}","{""ImportId"":""choice8_education1""}","{""ImportId"":""choice8_education2""}","{""ImportId"":""choice8_interestpoli1""}","{""ImportId"":""choice8_interestpoli2""}","{""ImportId"":""choice8_religiosity1""}","{""ImportId"":""choice8_religiosity2""}","{""ImportId"":""Random_ID""}"
2021-11-08 10:21:15,2021-11-08 10:24:37,Survey Preview,,100,201,True,2021-11-08 10:24:38,R_2cq08vi0PG3gAsz,,,,,29.7545013427734375,-95.4093017578125,preview,EN,,,,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 1,Person 2,,,,,,,,,,,,,,,,,,,,"$80,000","$80,000",Asian,Hispanic,Republican,Republican,Extraverted,Introverted,6/10,9/10,,,,,,,"$40,000","$60,000",Asian,Black,Republican,Independent,Extraverted,Extraverted,8/10,8/10,,,,,,,"$60,000","$80,000",Asian,Asian,Democrat,Democrat,Introverted,Extraverted,6/10,6/10,,,,,,,"$120,000","$60,000",Hispanic,Hispanic,Republican,Democrat,Introverted,Introverted,10/10,6/10,,,,,,,"$40,000","$40,000",Hispanic,Black,Republican,Democrat,Introverted,Introverted,8/10,7/10,,,,,,,"$60,000","$100,000",Hispanic,Black,Republican,Democrat,Introverted,Extraverted,7/10,7/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-09 22:33:27,2021-11-09 22:35:42,Survey Preview,,100,134,True,2021-11-09 22:35:42,R_OqDm04sJ8aXQUy5,,,,,29.7373046875,-95.3972015380859375,preview,EN,,I wish to participate,,Person 1,Person 2,Person 1,Person 2,Person 1,Person 2,Person 1,Person 1,,,,Female,,Black,Been single for more than 2 years,7,,,,,,,,Very Liberal,,,,"$80,000","$60,000",Hispanic,Black,Republican,Independent,Introverted,Introverted,9/10,10/10,,,,,,,"$80,000","$100,000",Asian,White,Independent,Republican,Introverted,Extraverted,9/10,6/10,,,,,,,"$120,000","$100,000",Black,Black,Independent,Republican,Extraverted,Introverted,6/10,10/10,,,,,,,"$120,000","$120,000",Black,Black,Independent,Democrat,Extraverted,Extraverted,8/10,7/10,,,,,,,"$120,000","$60,000",Black,Black,Independent,Independent,Introverted,Extraverted,7/10,8/10,,,,,,,"$80,000","$120,000",Asian,Hispanic,Independent,Independent,Introverted,Extraverted,9/10,8/10,,,,,,,"$100,000","$100,000",Black,Black,Republican,Democrat,Introverted,Introverted,8/10,9/10,,,,,,,"$40,000","$60,000",Asian,Asian,Republican,Independent,Extraverted,Introverted,9/10,10/10,,,,,,,
2021-11-09 22:54:23,2021-11-09 23:01:37,Survey Preview,,100,433,True,2021-11-09 23:01:43,R_28U4wlDWXipefW5,,,,,29.7373046875,-95.3972015380859375,preview,EN,,I wish to participate,,Person 2,Person 2,Person 2,Person 1,Person 2,Person 1,Person 1,Person 2,,,,Male,,Hispanic,Been single for more than 2 years,Somewhat Religious,,,,,,,,,,,,"$40,000","$100,000",Hispanic,White,Democrat,Independent,Introverted,Extraverted,10/10,10/10,,,,,,,"$100,000","$40,000",White,Hispanic,Independent,Independent,Introverted,Introverted,10/10,10/10,,,,,,,"$120,000","$80,000",Hispanic,Hispanic,Republican,Democrat,Introverted,Extraverted,7/10,9/10,,,,,,,"$40,000","$100,000",Asian,White,Democrat,Independent,Introverted,Introverted,9/10,8/10,,,,,,,"$60,000","$100,000",White,Asian,Independent,Republican,Extraverted,Extraverted,8/10,8/10,,,,,,,"$60,000","$120,000",Hispanic,Black,Democrat,Independent,Introverted,Introverted,10/10,10/10,,,,,,,"$40,000","$40,000",Asian,Hispanic,Democrat,Republican,Introverted,Extraverted,10/10,8/10,,,,,,,"$80,000","$40,000",White,Black,Democrat,Independent,Extraverted,Extraverted,6/10,7/10,,,,,,,
2021-11-09 23:01:50,2021-11-09 23:03:25,Survey Preview,,100,95,True,2021-11-09 23:03:26,R_1Du5hZgsQJoSctQ,,,,,29.7373046875,-95.3972015380859375,preview,EN,,I wish to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000","$120,000",Hispanic,Hispanic,Independent,Republican,Extraverted,Extraverted,6/10,8/10,,,,,,,"$100,000","$60,000",Hispanic,Asian,Democrat,Republican,Extraverted,Extraverted,8/10,8/10,,,,,,,"$80,000","$60,000",Black,Asian,Democrat,Independent,Introverted,Extraverted,6/10,7/10,,,,,,,"$40,000","$120,000",White,Asian,Independent,Democrat,Extraverted,Introverted,10/10,7/10,,,,,,,"$120,000","$100,000",White,Asian,Independent,Democrat,Extraverted,Extraverted,8/10,6/10,,,,,,,"$120,000","$40,000",Hispanic,Hispanic,Republican,Democrat,Extraverted,Extraverted,8/10,9/10,,,,,,,"$60,000","$120,000",Asian,Asian,Democrat,Republican,Extraverted,Introverted,7/10,10/10,,,,,,,"$120,000","$80,000",Asian,Asian,Independent,Republican,Introverted,Extraverted,8/10,6/10,,,,,,,
2021-11-09 23:10:58,2021-11-09 23:11:07,Survey Preview,,100,8,True,2021-11-09 23:11:08,R_2zd8vyiprJhZ5NX,,,,,29.7373046875,-95.3972015380859375,preview,EN,,I do not wish to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-09 23:26:15,2021-11-09 23:30:06,Survey Preview,,100,231,True,2021-11-09 23:30:07,R_22yvPu1hmjnUK5i,,,,,29.7373046875,-95.3972015380859375,preview,EN,,I wish to participate,,Person 1,Person 2,Person 1,Person 1,Person 1,Person 2,Person 1,Person 2,9,Not Very Interested,tardigrade,Male,,Hispanic,Been single for more than 2 years,Somewhat Religious,,,,,,,,Very Liberal,,,,"$60,000","$60,000",Hispanic,White,Democrat,Democrat,Extraverted,Introverted,8/10,7/10,,,,,,,"$60,000","$60,000",Asian,Hispanic,Republican,Independent,Introverted,Introverted,10/10,9/10,,,,,,,"$120,000","$120,000",Black,White,Independent,Republican,Introverted,Introverted,10/10,6/10,,,,,,,"$60,000","$100,000",Black,Black,Independent,Republican,Extraverted,Extraverted,9/10,8/10,,,,,,,"$100,000","$80,000",Black,Black,Democrat,Republican,Introverted,Introverted,8/10,8/10,,,,,,,"$120,000","$120,000",Black,Hispanic,Democrat,Democrat,Introverted,Introverted,6/10,6/10,,,,,,,"$120,000","$60,000",White,White,Democrat,Republican,Introverted,Extraverted,8/10,9/10,,,,,,,"$100,000","$80,000",Hispanic,White,Independent,Independent,Extraverted,Extraverted,8/10,8/10,,,,,,,
2021-11-10 15:45:13,2021-11-10 15:49:22,Survey Preview,,100,248,True,2021-11-10 15:49:23,R_1FxZJrF3tVhNPwf,,,,,29.7545013427734375,-95.4093017578125,preview,EN,0.89999997615814208984375,I wish to participate,,Person 1,Person 1,Person 1,Person 2,Person 1,Person 1,Person 2,Person 2,9,Not Very Interested,tardigrade,Male,,Hispanic,Been single for more than 2 years,Somewhat Religious,,,,1,,,,Very Liberal,,,,"$40,000","$40,000",Asian,Black,Democrat,Democrat,Introverted,Extraverted,10/10,2/10,,,,,,,"$60,000","$80,000",Hispanic,White,Independent,Republican,Introverted,Extraverted,8/10,2/10,,,,,,,"$20,000","$40,000",Hispanic,White,Independent,Independent,Extraverted,Extraverted,8/10,6/10,,,,,,,"$60,000","$40,000",Asian,Hispanic,Republican,Democrat,Introverted,Introverted,2/10,6/10,,,,,,,"$60,000","$40,000",Asian,White,Independent,Republican,Extraverted,Extraverted,4/10,8/10,,,,,,,"$60,000","$20,000",Black,Hispanic,Democrat,Democrat,Extraverted,Introverted,10/10,8/10,,,,,,,"$80,000","$60,000",White,Hispanic,Republican,Independent,Extraverted,Introverted,2/10,10/10,,,,,,,"$60,000","$100,000",White,Hispanic,Independent,Republican,Introverted,Extraverted,4/10,4/10,,,,,,,
2021-11-10 17:58:45,2021-11-10 17:59:15,IP Address,76.249.132.32,100,29,True,2021-11-10 17:59:16,R_3G3UKyBrYOEQunl,,,,,29.7373046875,-95.3972015380859375,anonymous,EN,0.89999997615814208984375,I do not wish to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
