StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q5,1_Q9,1_Q10,1_Q11_1,1_Q11_2,2_Q9,2_Q10,2_Q11_1,2_Q11_2,3_Q9,3_Q10,3_Q11_1,3_Q11_2,4_Q9,4_Q10,4_Q11_1,4_Q11_2,5_Q9,5_Q10,5_Q11_1,5_Q11_2,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q20_10_TEXT,Q21,Q22,Q23,Q24,Q25,Q26,Q28,IP_block,IP_country,choice1_popsize1,choice1_popsize2,choice1__racethndemo1,choice1__racethndemo2,choice1_politics1,choice1_politics2,choice1_housingprice1,choice1_housingprice2,choice1_weather1,choice1_weather2,choice1_distfamily1,choice1_distfamily2,choice1_crime1,choice1_crime2,choice2_popsize1,choice2_popsize2,choice2__racethndemo1,choice2__racethndemo2,choice2_politics1,choice2_politics2,choice2_housingprice1,choice2_housingprice2,choice2_weather1,choice2_weather2,choice2_distfamily1,choice2_distfamily2,choice2_crime1,choice2_crime2,choice3_popsize1,choice3_popsize2,choice3__racethndemo1,choice3__racethndemo2,choice3_politics1,choice3_politics2,choice3_housingprice1,choice3_housingprice2,choice3_weather1,choice3_weather2,choice3_distfamily1,choice3_distfamily2,choice3_crime1,choice3_crime2,choice4_popsize1,choice4_popsize2,choice4__racethndemo1,choice4__racethndemo2,choice4_politics1,choice4_politics2,choice4_housingprice1,choice4_housingprice2,choice4_weather1,choice4_weather2,choice4_distfamily1,choice4_distfamily2,choice4_crime1,choice4_crime2,choice5_popsize1,choice5_popsize2,choice5__racethndemo1,choice5__racethndemo2,choice5_politics1,choice5_politics2,choice5_housingprice1,choice5_housingprice2,choice5_weather1,choice5_weather2,choice5_distfamily1,choice5_distfamily2,choice5_crime1,choice5_crime2,Random_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"You are being invited to participate in a research study titled “Modern City Preferences.” This study is being conducted by Chano Arreguin-Abarca from Rice University. You were selected to participate in this study because you are a United States citizen.
The purpose of this study is to see what attributes matter to people when choosing a city. You will be shown hypothetical profiles of cities and select among them. After you make these selections you will have to respond to some basic demographic questions. The total length of the survey should be no more than 7-10 minutes.  

You may not directly benefit from this research; however, we hope that your participation in the study may help us learn about what matters to people when making lifestyle choices. 

We believe there are no known risks associated with this research study; however, as with any online related activity the risk of a breach of confidentiality is always possible. To the best of our ability your answers in this study will remain confidential. We will minimize any risks by not collecting any personally identifiable information, and storing all responses on the investigators secured computers.

Your participation in this study is completely voluntary and you can withdraw at any time. You will be compensated according to the payment rate you have agreed to illustrated in MTurk recruitment process for this task. 

If you have questions about this project or if you have a research-related problem, you may contact the researcher(s), Chano Arreguin-Abarca: ca34@rice.edu, John Alford: jra@rice.edu If you have questions pertaining to your rights as a research participant; or to report objections to this study, you should contact Rice University’s IRB Administrator. Email: irb@rice.edu or telephone: 713-348-3586.
 


By continuing with the survey, you are indicating that you are at least 18 years old, have read and understood this consent form and agree to participate in this research study.  Please print a copy of this page for your record.

Do you agree to participate in this study?","For some reason we are still unable to verify your country location. We ask you to please assist us in getting this protocol correct. Please enter your MTurk worker ID below and contact the requester for this HIT to report the problem. 
Once you click next, you will be taken to the survey (and certifying that you are taking this survey from the U.S. and not using a VPS). We will manually check for those who reach this point and you will be contacted if this check identifies you as violating these requirements.","${e://Field/choice1_popsize1} - If you could move to either city for your job, which one would you choose?",${e://Field/choice1_popsize1} - In which of the cities do you think you have BETTER chance at finding a long-term romantic partner?,"If you had 10 encounters with randomly selected people in the cities above: How many of those do you think would be successful? (e.g., getting a 2nd date). - ${e://Field/choice1_popsize1} - City 1","If you had 10 encounters with randomly selected people in the cities above: How many of those do you think would be successful? (e.g., getting a 2nd date). - ${e://Field/choice1_popsize1} - City 2","${e://Field/choice2_popsize1} - If you could move to either city for your job, which one would you choose?",${e://Field/choice2_popsize1} - In which of the cities do you think you have BETTER chance at finding a long-term romantic partner?,"If you had 10 encounters with randomly selected people in the cities above: How many of those do you think would be successful? (e.g., getting a 2nd date). - ${e://Field/choice2_popsize1} - City 1","If you had 10 encounters with randomly selected people in the cities above: How many of those do you think would be successful? (e.g., getting a 2nd date). - ${e://Field/choice2_popsize1} - City 2","${e://Field/choice3_popsize1} - If you could move to either city for your job, which one would you choose?",${e://Field/choice3_popsize1} - In which of the cities do you think you have BETTER chance at finding a long-term romantic partner?,"If you had 10 encounters with randomly selected people in the cities above: How many of those do you think would be successful? (e.g., getting a 2nd date). - ${e://Field/choice3_popsize1} - City 1","If you had 10 encounters with randomly selected people in the cities above: How many of those do you think would be successful? (e.g., getting a 2nd date). - ${e://Field/choice3_popsize1} - City 2","${e://Field/choice4_popsize1} - If you could move to either city for your job, which one would you choose?",${e://Field/choice4_popsize1} - In which of the cities do you think you have BETTER chance at finding a long-term romantic partner?,"If you had 10 encounters with randomly selected people in the cities above: How many of those do you think would be successful? (e.g., getting a 2nd date). - ${e://Field/choice4_popsize1} - City 1","If you had 10 encounters with randomly selected people in the cities above: How many of those do you think would be successful? (e.g., getting a 2nd date). - ${e://Field/choice4_popsize1} - City 2","${e://Field/choice5_popsize1} - If you could move to either city for your job, which one would you choose?",${e://Field/choice5_popsize1} - In which of the cities do you think you have BETTER chance at finding a long-term romantic partner?,"If you had 10 encounters with randomly selected people in the cities above: How many of those do you think would be successful? (e.g., getting a 2nd date). - ${e://Field/choice5_popsize1} - City 1","If you had 10 encounters with randomly selected people in the cities above: How many of those do you think would be successful? (e.g., getting a 2nd date). - ${e://Field/choice5_popsize1} - City 2",What is 3 + 8?,Which of the following is NOT a common pet?,How interested would you say you are in politics?,What is your gender?,What is your age?,How attractive would you say OTHERS think you are?,What racial/ethnic identity do you associate with? (You may select more than one),What is your relationship status?,What is your highest level of education? - Selected Choice,What is your highest level of education? - Other - Text,What is your yearly income?,How do you feel toward people who identify as Independents?,How do you feel toward people who identify as Democrats?,How do you feel toward people who identify as Republicans?,How do you identify politically?,What best describes you ideologically?,"What attributes matter to you about a prospective city? Feel free to include attributes you saw here and/or add anything else. (280 character limit, i.e., same as a tweet).",IP_block,IP_country,choice1_popsize1,choice1_popsize2,choice1__racethndemo1,choice1__racethndemo2,choice1_politics1,choice1_politics2,choice1_housingprice1,choice1_housingprice2,choice1_weather1,choice1_weather2,choice1_distfamily1,choice1_distfamily2,choice1_crime1,choice1_crime2,choice2_popsize1,choice2_popsize2,choice2__racethndemo1,choice2__racethndemo2,choice2_politics1,choice2_politics2,choice2_housingprice1,choice2_housingprice2,choice2_weather1,choice2_weather2,choice2_distfamily1,choice2_distfamily2,choice2_crime1,choice2_crime2,choice3_popsize1,choice3_popsize2,choice3__racethndemo1,choice3__racethndemo2,choice3_politics1,choice3_politics2,choice3_housingprice1,choice3_housingprice2,choice3_weather1,choice3_weather2,choice3_distfamily1,choice3_distfamily2,choice3_crime1,choice3_crime2,choice4_popsize1,choice4_popsize2,choice4__racethndemo1,choice4__racethndemo2,choice4_politics1,choice4_politics2,choice4_housingprice1,choice4_housingprice2,choice4_weather1,choice4_weather2,choice4_distfamily1,choice4_distfamily2,choice4_crime1,choice4_crime2,choice5_popsize1,choice5_popsize2,choice5__racethndemo1,choice5__racethndemo2,choice5_politics1,choice5_politics2,choice5_housingprice1,choice5_housingprice2,choice5_weather1,choice5_weather2,choice5_distfamily1,choice5_distfamily2,choice5_crime1,choice5_crime2,Random_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""1_QID5""}","{""ImportId"":""1_QID21""}","{""ImportId"":""1_QID19_1""}","{""ImportId"":""1_QID19_2""}","{""ImportId"":""2_QID5""}","{""ImportId"":""2_QID21""}","{""ImportId"":""2_QID19_1""}","{""ImportId"":""2_QID19_2""}","{""ImportId"":""3_QID5""}","{""ImportId"":""3_QID21""}","{""ImportId"":""3_QID19_1""}","{""ImportId"":""3_QID19_2""}","{""ImportId"":""4_QID5""}","{""ImportId"":""4_QID21""}","{""ImportId"":""4_QID19_1""}","{""ImportId"":""4_QID19_2""}","{""ImportId"":""5_QID5""}","{""ImportId"":""5_QID21""}","{""ImportId"":""5_QID19_1""}","{""ImportId"":""5_QID19_2""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID25""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID31""}","{""ImportId"":""QID31_10_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""IP_block""}","{""ImportId"":""IP_country""}","{""ImportId"":""choice1_popsize1""}","{""ImportId"":""choice1_popsize2""}","{""ImportId"":""choice1__racethndemo1""}","{""ImportId"":""choice1__racethndemo2""}","{""ImportId"":""choice1_politics1""}","{""ImportId"":""choice1_politics2""}","{""ImportId"":""choice1_housingprice1""}","{""ImportId"":""choice1_housingprice2""}","{""ImportId"":""choice1_weather1""}","{""ImportId"":""choice1_weather2""}","{""ImportId"":""choice1_distfamily1""}","{""ImportId"":""choice1_distfamily2""}","{""ImportId"":""choice1_crime1""}","{""ImportId"":""choice1_crime2""}","{""ImportId"":""choice2_popsize1""}","{""ImportId"":""choice2_popsize2""}","{""ImportId"":""choice2__racethndemo1""}","{""ImportId"":""choice2__racethndemo2""}","{""ImportId"":""choice2_politics1""}","{""ImportId"":""choice2_politics2""}","{""ImportId"":""choice2_housingprice1""}","{""ImportId"":""choice2_housingprice2""}","{""ImportId"":""choice2_weather1""}","{""ImportId"":""choice2_weather2""}","{""ImportId"":""choice2_distfamily1""}","{""ImportId"":""choice2_distfamily2""}","{""ImportId"":""choice2_crime1""}","{""ImportId"":""choice2_crime2""}","{""ImportId"":""choice3_popsize1""}","{""ImportId"":""choice3_popsize2""}","{""ImportId"":""choice3__racethndemo1""}","{""ImportId"":""choice3__racethndemo2""}","{""ImportId"":""choice3_politics1""}","{""ImportId"":""choice3_politics2""}","{""ImportId"":""choice3_housingprice1""}","{""ImportId"":""choice3_housingprice2""}","{""ImportId"":""choice3_weather1""}","{""ImportId"":""choice3_weather2""}","{""ImportId"":""choice3_distfamily1""}","{""ImportId"":""choice3_distfamily2""}","{""ImportId"":""choice3_crime1""}","{""ImportId"":""choice3_crime2""}","{""ImportId"":""choice4_popsize1""}","{""ImportId"":""choice4_popsize2""}","{""ImportId"":""choice4__racethndemo1""}","{""ImportId"":""choice4__racethndemo2""}","{""ImportId"":""choice4_politics1""}","{""ImportId"":""choice4_politics2""}","{""ImportId"":""choice4_housingprice1""}","{""ImportId"":""choice4_housingprice2""}","{""ImportId"":""choice4_weather1""}","{""ImportId"":""choice4_weather2""}","{""ImportId"":""choice4_distfamily1""}","{""ImportId"":""choice4_distfamily2""}","{""ImportId"":""choice4_crime1""}","{""ImportId"":""choice4_crime2""}","{""ImportId"":""choice5_popsize1""}","{""ImportId"":""choice5_popsize2""}","{""ImportId"":""choice5__racethndemo1""}","{""ImportId"":""choice5__racethndemo2""}","{""ImportId"":""choice5_politics1""}","{""ImportId"":""choice5_politics2""}","{""ImportId"":""choice5_housingprice1""}","{""ImportId"":""choice5_housingprice2""}","{""ImportId"":""choice5_weather1""}","{""ImportId"":""choice5_weather2""}","{""ImportId"":""choice5_distfamily1""}","{""ImportId"":""choice5_distfamily2""}","{""ImportId"":""choice5_crime1""}","{""ImportId"":""choice5_crime2""}","{""ImportId"":""Random_ID""}"
2021-11-10 15:12:26,2021-11-10 15:12:30,Survey Preview,,100,3,True,2021-11-10 15:12:31,R_1f1ojjmgKLcIKBK,,,,,29.7545013427734375,-95.4093017578125,preview,EN,I do not wish to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-10 15:12:34,2021-11-10 15:30:11,Survey Preview,,100,1057,True,2021-11-10 15:30:12,R_2BA13HOdbosbDPB,,,,,29.7545013427734375,-95.4093017578125,preview,EN,I wish to participate,,,,,,,,,,,,,,,,,,,,,,11,lobster,,,,,,,,,,,,,,,,,,"50,000","50,000",,,10% Republicans & 90% Democrats,50% Republicans & 50% Democrats,Above Average $$$$,Below Average $,Cloudy,Windy,,,,,"500,000","500,000",,,90% Republicans & 10% Democrats,90% Republicans & 10% Democrats,Below Average $,Somewhat Above Average $$$,Sunny,Sunny,,,,,"5,000,000","500,000",,,90% Republicans & 10% Democrats,10% Republicans & 90% Democrats,Somewhat Below Average $$,Somewhat Above Average $$$,Snowy,Snowy,,,,,"5,000,000","100,000",,,90% Republicans & 10% Democrats,50% Republicans & 50% Democrats,Above Average $$$$,Below Average $,Snowy,Windy,,,,,"100,000","50,000",,,90% Republicans & 10% Democrats,90% Republicans & 10% Democrats,Above Average $$$$,Above Average $$$$,Rainy,Snowy,,,,,
2021-11-10 19:07:42,2021-11-10 19:12:51,IP Address,73.166.226.150,100,308,True,2021-11-10 19:12:52,R_DCA6t1JZTfL5oc1,,,,,29.7805023193359375,-95.51290130615234375,anonymous,EN,I wish to participate,,City 1,,7,5,City 1,,8,2,City 2,,6,2,City 1,,8,3,City 1,,8,3,11,lobster,,Female,,,White,Been single for more than 2 years,,,"$20,000-$29,999",Very Negative,,,,Very Liberal,,,,"500,000","100,000",,,10% Republicans & 90% Democrats,50% Republicans & 50% Democrats,Somewhat Above Average $$$,Somewhat Below Average $$,Snowy,Rainy,,,,,"1,000,000","500,000",,,10% Republicans & 90% Democrats,90% Republicans & 10% Democrats,Below Average $,Below Average $,Rainy,Snowy,,,,,"10,000","10,000",,,50% Republicans & 50% Democrats,90% Republicans & 10% Democrats,Above Average $$$$,Below Average $,Sunny,Snowy,,,,,"100,000","5,000,000",,,10% Republicans & 90% Democrats,50% Republicans & 50% Democrats,Somewhat Below Average $$,Somewhat Below Average $$,Cloudy,Snowy,,,,,"5,000,000","100,000",,,10% Republicans & 90% Democrats,90% Republicans & 10% Democrats,Above Average $$$$,Somewhat Below Average $$,Windy,Snowy,,,,,
2021-11-10 18:21:14,2021-11-10 20:59:05,IP Address,76.249.132.32,100,9471,True,2021-11-10 20:59:06,R_8voUrQgmyx54W41,,,,,29.7373046875,-95.3972015380859375,anonymous,EN,I wish to participate,,City 2,,6,4,City 1,,3,3,City 1,,3,3,City 2,,4,4,City 1,,5,5,11,lobster,,Other,,,Black,Married,,,"$40,000-$49,999",Very Negative,,,,Very Liberal,,,,"10,000","5,000,000",,,50% Republicans & 50% Democrats,10% Republicans & 90% Democrats,Somewhat Above Average $$$,Average $$$,Snowy,Cloudy,,,,,"1,000,000","50,000",,,50% Republicans & 50% Democrats,50% Republicans & 50% Democrats,Somewhat Below Average $$,Somewhat Below Average $$,Sunny,Rainy,,,,,"5,000,000","50,000",,,50% Republicans & 50% Democrats,90% Republicans & 10% Democrats,Somewhat Above Average $$$,Average $$$,Windy,Cloudy,,,,,"500,000","1,000,000",,,50% Republicans & 50% Democrats,90% Republicans & 10% Democrats,Below Average $,Somewhat Below Average $$,Sunny,Sunny,,,,,"50,000","100,000",,,50% Republicans & 50% Democrats,10% Republicans & 90% Democrats,Average $$$,Below Average $,Rainy,Cloudy,,,,,
2021-11-17 15:17:48,2021-11-17 15:24:23,Survey Preview,,100,395,True,2021-11-17 15:24:25,R_1ItuCqusFSdkX1H,,,,,29.7227935791015625,-95.42510223388671875,preview,EN,I wish to participate,,City 1,,7,2,City 1,,7,3,City 1,,8,3,City 1,,6,6,City 1,,6,3,11,lobster,,Male,1997,Average,Hispanic,Been single for more than 2 years,,,"$20,000-$29,999",Neutral,Somewhat Positive,Somewhat Negative,Lean Democrat,Somewhat Liberal,,,,"500,000","50,000",,,10% Republicans & 90% Democrats,50% Republicans & 50% Democrats,Average,Average,,,,,,,"10,000","50,000",,,50% Republicans & 50% Democrats,90% Republicans & 10% Democrats,Average,High-Priced,,,,,,,"50,000","100,000",,,10% Republicans & 90% Democrats,50% Republicans & 50% Democrats,High-Priced,Low-Priced,,,,,,,"100,000","50,000",,,90% Republicans & 10% Democrats,90% Republicans & 10% Democrats,High-Priced,High-Priced,,,,,,,"500,000","50,000",,,10% Republicans & 90% Democrats,10% Republicans & 90% Democrats,Average,Average,,,,,,,
2021-11-10 21:05:41,2021-11-10 21:09:37,IP Address,70.228.14.12,15,236,False,2021-11-17 21:09:40,R_6nScTkcnCCKu29b,,,,,,,anonymous,EN,I wish to participate,,City 2,,10,10,City 2,,10,10,City 2,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000","5,000,000",,,50% Republicans & 50% Democrats,10% Republicans & 90% Democrats,Below Average $,Somewhat Above Average $$$,Sunny,Rainy,,,,,"1,000,000","5,000,000",,,10% Republicans & 90% Democrats,10% Republicans & 90% Democrats,Somewhat Below Average $$,Somewhat Below Average $$,Sunny,Cloudy,,,,,"50,000","5,000,000",,,90% Republicans & 10% Democrats,90% Republicans & 10% Democrats,Somewhat Below Average $$,Above Average $$$$,Rainy,Cloudy,,,,,"500,000","1,000,000",,,10% Republicans & 90% Democrats,90% Republicans & 10% Democrats,Average $$$,Somewhat Below Average $$,Windy,Windy,,,,,"10,000","5,000,000",,,10% Republicans & 90% Democrats,50% Republicans & 50% Democrats,Above Average $$$$,Somewhat Below Average $$,Rainy,Windy,,,,,
2021-11-10 21:00:11,2021-11-11 09:54:15,IP Address,76.249.132.32,75,46444,False,2021-11-18 09:54:16,R_3snYMwzWnARcR3e,,,,,,,anonymous,EN,I wish to participate,,City 1,,7,7,City 1,,3,6,City 2,,7,5,City 1,,4,4,City 1,,6,5,11,dog,,Male,,,White,Been single for more than 2 years,,,"$0-$9,999",,,,,,,,,"50,000","10,000",,,10% Republicans & 90% Democrats,10% Republicans & 90% Democrats,Somewhat Below Average $$,Somewhat Below Average $$,Rainy,Snowy,,,,,"50,000","10,000",,,10% Republicans & 90% Democrats,10% Republicans & 90% Democrats,Somewhat Above Average $$$,Somewhat Above Average $$$,Cloudy,Windy,,,,,"500,000","500,000",,,90% Republicans & 10% Democrats,90% Republicans & 10% Democrats,Somewhat Below Average $$,Above Average $$$$,Rainy,Snowy,,,,,"100,000","1,000,000",,,50% Republicans & 50% Democrats,10% Republicans & 90% Democrats,Above Average $$$$,Average $$$,Windy,Rainy,,,,,"5,000,000","500,000",,,90% Republicans & 10% Democrats,50% Republicans & 50% Democrats,Below Average $,Below Average $,Windy,Windy,,,,,
2021-11-11 10:30:10,2021-11-11 10:33:12,IP Address,73.232.172.73,15,181,False,2021-11-18 10:33:16,R_zczTtAxcW8JqF5n,,,,,,,anonymous,EN,I wish to participate,,City 1,,4,9,City 1,,7,7,City 2,,9,1,City 1,,1,9,City 1,,7,2,,,,,,,,,,,,,,,,,,,,"500,000","5,000,000",,,50% Republicans & 50% Democrats,90% Republicans & 10% Democrats,Average $$$,Somewhat Below Average $$,Sunny,Sunny,,,,,"100,000","50,000",,,50% Republicans & 50% Democrats,90% Republicans & 10% Democrats,Above Average $$$$,Somewhat Above Average $$$,Cloudy,Rainy,,,,,"500,000","50,000",,,50% Republicans & 50% Democrats,90% Republicans & 10% Democrats,Above Average $$$$,Above Average $$$$,Sunny,Cloudy,,,,,"100,000","1,000,000",,,50% Republicans & 50% Democrats,10% Republicans & 90% Democrats,Average $$$,Below Average $,Rainy,Cloudy,,,,,"500,000","10,000",,,90% Republicans & 10% Democrats,10% Republicans & 90% Democrats,Below Average $,Average $$$,Snowy,Windy,,,,,
